"Status","IntValue","HexValue","Description"
"STATUS_SUCCESS","0","0x0","STATUS_SUCCESS"
"STATUS_WAIT_1","1","0x1","STATUS_WAIT_1"
"STATUS_WAIT_2","2","0x2","STATUS_WAIT_2"
"STATUS_WAIT_3","3","0x3","STATUS_WAIT_3"
"STATUS_WAIT_63","63","0x3F","STATUS_WAIT_63"
"STATUS_ABANDONED","128","0x80","STATUS_ABANDONED_WAIT_0"
"STATUS_ABANDONED_WAIT_63","191","0xBF","STATUS_ABANDONED_WAIT_63"
"STATUS_USER_APC","192","0xC0","STATUS_USER_APC"
"STATUS_KERNEL_APC","256","0x100","STATUS_KERNEL_APC"
"STATUS_ALERTED","257","0x101","STATUS_ALERTED"
"STATUS_TIMEOUT","258","0x102","STATUS_TIMEOUT"
"STATUS_PENDING","259","0x103","The operation that was requested is pending completion."
"STATUS_REPARSE","260","0x104","A reparse should be performed by the Object Manager since the name of the file resulted in a symbolic link."
"STATUS_MORE_ENTRIES","261","0x105","Returned by enumeration APIs to indicate more information is available to successive calls."
"STATUS_NOT_ALL_ASSIGNED","262","0x106","Indicates not all privileges or groups referenced are assigned to the caller. This allows, for example, all privileges to be disabled without having to know exactly which privileges are assigned."
"STATUS_SOME_NOT_MAPPED","263","0x107","Some of the information to be translated has not been translated."
"STATUS_OPLOCK_BREAK_IN_PROGRESS","264","0x108","An open/create operation completed while an oplock break is underway."
"STATUS_VOLUME_MOUNTED","265","0x109","A new volume has been mounted by a file system."
"STATUS_RXACT_COMMITTED","266","0x10A","This success level status indicates that the transaction state already exists for the registry sub-tree, but that a transaction commit was previously aborted. The commit has now been completed."
"STATUS_NOTIFY_CLEANUP","267","0x10B","This indicates that a notify change request has been completed due to closing the handle which made the notify change request."
"STATUS_NOTIFY_ENUM_DIR","268","0x10C","This indicates that a notify change request is being completed and that the information is not being returned in the caller's buffer. The caller now needs to enumerate the files to find the changes."
"STATUS_NO_QUOTAS_FOR_ACCOUNT","269","0x10D","{No Quotas} No system quota limits are specifically set for this account."
"STATUS_PAGE_FAULT_TRANSITION","272","0x110","Page fault was a transition fault."
"STATUS_PAGE_FAULT_DEMAND_ZERO","273","0x111","Page fault was a demand zero fault."
"STATUS_PAGE_FAULT_COPY_ON_WRITE","274","0x112","Page fault was a demand zero fault."
"STATUS_PAGE_FAULT_GUARD_PAGE","275","0x113","Page fault was a demand zero fault."
"STATUS_PAGE_FAULT_PAGING_FILE","276","0x114","Page fault was satisfied by reading from a secondary storage device."
"STATUS_CACHE_PAGE_LOCKED","277","0x115","Cached page was locked during operation."
"STATUS_CRASH_DUMP","278","0x116","Crash dump exists in paging file."
"STATUS_BUFFER_ALL_ZEROS","279","0x117","Specified buffer contains all zeros."
"STATUS_REPARSE_OBJECT","280","0x118","A reparse should be performed by the Object Manager since the name of the file resulted in a symbolic link."
"STATUS_TRANSLATION_COMPLETE","288","0x120","The translator has translated these resources into the global space and no further translations should be performed."
"STATUS_NOTHING_TO_TERMINATE","290","0x122","A process being terminated has no threads to terminate."
"STATUS_PROCESS_NOT_IN_JOB","291","0x123","The specified process is not part of a job."
"STATUS_PROCESS_IN_JOB","292","0x124","The specified process is part of a job."
"STATUS_VOLSNAP_HIBERNATE_READY","293","0x125","{Volume Shadow Copy Service} The system is now ready for hibernation."
"STATUS_PROCESS_CLONED","297","0x129","The current process is a cloned process."
"STATUS_FILE_LOCKED_WITH_WRITERS","299","0x12B","The file was locked and at least one user of the file can write."
"STATUS_VALID_IMAGE_HASH","300","0x12C","The file image hash is valid."
"STATUS_RING_PREVIOUSLY_EMPTY","528","0x210","The specified ring buffer was empty before the packet was successfully inserted."
"STATUS_RING_PREVIOUSLY_FULL","529","0x211","The specified ring buffer was full before the packet was successfully removed."
"STATUS_RING_NEWLY_EMPTY","531","0x213","The specified ring buffer has, with the removal of the current packet, now become empty."
"STATUS_OPLOCK_HANDLE_CLOSED","534","0x216","The handle with which this oplock was associated has been closed.  The oplock is now broken."
"STATUS_WAIT_FOR_OPLOCK","871","0x367","An operation is blocked waiting for an oplock."
"DBG_EXCEPTION_HANDLED","65537","0x10001","Debugger handled exception"
"DBG_CONTINUE","65538","0x10002","Debugger continued"
"STATUS_FLT_IO_COMPLETE","1835009","0x1C0001","The IO was completed by a filter."
"STATUS_DIS_ATTRIBUTE_BUILT","3932161","0x3C0001","An attribute was successfully built."
"STATUS_OBJECT_NAME_EXISTS","1073741824","0x40000000","{Object Exists} An attempt was made to create an object and the object name already existed."
"STATUS_THREAD_WAS_SUSPENDED","1073741825","0x40000001","{Thread Suspended} A thread termination occurred while the thread was suspended. The thread was resumed, and termination proceeded."
"STATUS_WORKING_SET_LIMIT_RANGE","1073741826","0x40000002","{Working Set Range Error} An attempt was made to set the working set minimum or maximum to values which are outside of the allowable range."
"STATUS_IMAGE_NOT_AT_BASE","1073741827","0x40000003","{Image Relocated} An image file could not be mapped at the address specified in the image file. Local fixups must be performed on this image."
"STATUS_RXACT_STATE_CREATED","1073741828","0x40000004","This informational level status indicates that a specified registry sub-tree transaction state did not yet exist and had to be created."
"STATUS_SEGMENT_NOTIFICATION","1073741829","0x40000005","{Segment Load} A virtual DOS machine (VDM) is loading, unloading, or moving an MS-DOS or Win16 program segment image. An exception is raised so a debugger can load, unload or track symbols and breakpoints within these 16-bit segments."
"STATUS_LOCAL_USER_SESSION_KEY","1073741830","0x40000006","{Local Session Key} A user session key was requested for a local RPC connection. The session key returned is a constant value and not unique to this connection."
"STATUS_BAD_CURRENT_DIRECTORY","1073741831","0x40000007","{Invalid Current Directory} The process cannot switch to the startup current directory %hs. Select OK to set current directory to %hs, or select CANCEL to exit."
